artistas Year-end Billboard;Ojos;altura;contextura corporal;simetría facial;labios;perfil facial;cabello;color de piel;estética musical dinámica/marcada;presencia escénica (shows con narrativa, baile, etc.);edad de peak en éxito;cantidad de Interacción con el público;tipo de interacción con el público;Vestuario apariciones públicas;Estilo interpretativo;Narrativa personal;impacto cultural;presencia digital y multiplataforma
Dua Lipa;medianos;alta;mesomorfo;si ;medianos;marcado;largo;claro;dinámica;si;<21;Media;Energética y performática;Temáticos/por era musical;Energética ;Imperio propio;Defensora activa de causas sociales;altamente activa y estratégica
Doja Cat;grandes;media;mesomorfo;parcial;prominentes;marcado;corto;oscuro;dinámica;si;>21;Alta;Energética y performática;Vanguardistas;Energética ;Imperio propio;Participación menos visible ;altamente activa y estratégica
Megan Thee Stallion;medianos;alta;mesomorfo;si ;prominentes;marcado;largo;oscuro;marcada;si;>21;Alta;Energética y performática;Vanguardistas;Energética ;Resiliente/ícono de superación ;Defensora activa de causas sociales;altamente activa y estratégica
Billie Eilish;grandes;media;ectomorfo;parcial;prominentes;no marcado;largo;claro;dinámica;si;<21;Alta;Íntima y personalizada;Temáticos/por era musical;Emocional/íntima;Imperio propio;Defensora activa de causas sociales;moderadamente activa
Cardi B;grandes;baja;endomorfo;parcial;prominentes;marcado;largo;oscuro;marcada;si;>21;Alta;Provocadora y confrontacional;Vanguardistas;Teatral/performática;Resiliente/ícono de superación ;Defensora activa de causas sociales;altamente activa y estratégica
Selena Gomez;medianos;media;mesomorfo;si ;medianos;marcado;medio;claro;dinámica;si;<21;Baja;Íntima y personalizada;Básicos y consistentes;Emocional/íntima;Resiliente/ícono de superación ;Defensora activa de causas sociales;moderadamente activa
Lizzo;grandes;alta;endomorfo;no ;delgados;no marcado;largo;oscuro;marcada;si;>21;Media;Energética y performática;Vanguardistas;Energética ;Imperio propio;Defensora activa de causas sociales;altamente activa y estratégica
Camila Cabello;medianos;baja;mesomorfo;si ;prominentes;no marcado;largo;medio;dinámica;si;<21;Baja;Energética y performática;Básicos y consistentes;Energética ;Resiliente/ícono de superación ;Defensora activa de causas sociales;moderadamente activa
Mariah Carey;medianos;alta;endomorfo;si ;medianos;no marcado;medio;medio;marcada;si;<21;Baja;Provocadora y confrontacional;Vanguardistas;Teatral/performática;Imperio propio;Defensora activa de causas sociales;presencia selectiva
Halsey;medianos;media;mesomorfo;si ;medianos;marcado;corto;claro;dinámica;si;>21;Baja;Íntima y personalizada;Temáticos/por era musical;Teatral/performática;Resiliente/ícono de superación ;Defensora activa de causas sociales;altamente activa y estratégica
