Artista;Ojos;altura;contextura corporal;simetría facial;labios;perfil facial;cabello;color de piel;estética musical dinámica/marcada;presencia escénica (shows con narrativa, baile, etc.);edad de peak en éxito;cantidad de Interacción con el público;tipo de interacción con el público;Vestuario apariciones públicas;Estilo interpretativo;Narrativa personal;impacto cultural;presencia digital y multiplataforma
Dua Lipa;3;5;3;1;3;1;4;4;2;0;0;3;1;1;1;1;1;0
Doja Cat;4;3;3;0;4;1;2;2;2;0;1;4;1;2;1;1;2;0
Megan Thee Stallion;3;5;3;1;4;1;4;2;3;0;1;4;1;2;1;2;1;0
Billie Eilish;4;3;2;0;4;0;4;4;2;0;0;4;2;1;2;1;1;3
Cardi B;4;2;4;0;4;1;4;2;3;0;1;4;3;2;3;2;1;0
Selena Gomez;3;3;3;1;3;1;3;4;2;0;0;2;2;4;2;2;1;3
Lizzo;4;5;4;0;2;0;4;2;3;0;1;3;1;2;1;1;1;0
Camila Cabello;3;2;3;1;4;0;4;3;2;0;0;2;1;4;1;2;1;3
Mariah Carey;3;5;4;1;3;0;3;3;3;0;0;2;3;2;3;1;1;2
Halsey;3;3;3;1;3;1;2;4;2;0;1;2;2;1;3;2;1;0
Olivia Rodrigo;3;3;2;1;4;0;4;4;2;0;0;4;2;1;2;3;1;3
Tate McRae;3;3;3;1;4;1;4;4;2;0;0;3;2;1;2;1;2;0
Kali Uchis;4;3;3;0;4;0;4;4;2;0;1;3;2;1;2;1;1;3
Ava Max;4;3;2;0;3;0;3;4;3;0;1;3;1;1;1;1;1;3
Brenda Lee;4;2;2;0;2;0;2;4;3;1;0;2;2;4;2;1;2;2
Kate Bush;4;3;2;0;2;0;3;4;2;0;0;2;2;2;3;1;2;2
Dove Cameron;4;3;2;1;4;1;4;4;3;1;1;3;2;2;3;3;1;0
Becky G;3;3;3;1;3;1;3;3;3;0;0;4;1;4;1;1;1;3
Karol G;3;3;4;1;4;1;4;3;2;0;1;4;1;4;1;1;1;0
PinkPantherees;4;3;2;0;3;0;4;3;3;1;0;4;1;2;3;1;2;3
Raye;4;5;3;0;4;1;2;3;3;0;1;3;2;1;2;2;2;3
Meghan Trainor;2;3;4;0;2;0;3;4;3;0;1;4;1;4;1;1;2;0
Sabrina Carpenter;3;2;2;1;4;1;3;4;3;0;0;4;2;1;2;3;2;0
Chappell Roan;4;5;3;0;2;0;3;4;2;0;1;4;1;1;2;1;1;3
Dasha;2;3;3;0;2;0;4;4;3;0;1;2;2;2;1;1;2;3
Victoria Monét ;2;3;3;1;4;1;4;2;2;0;1;3;2;1;2;1;1;3
